"xdemAll","age","AUD","BPC1_1NET","BPC1_2NET","BPC1_3NET","BPC1_4NET","BPC1_5NET","BPC1_6NET","BPC1_7NET","BPC1_8NET","BPC1_9NET","BPC1_10NET","BPC1_11NET","BPC1_12NET","BPC1_13NET","BPC1_14_TEXT","BPC1_14NET","BPC1_15NET","BPC1_16NET","BPC2","BPC3_1NET","BPC3_2NET","BPC3_3NET","BPC3_4NET","BPC3_5NET","BPC3_6NET","BPC3_7NET","BPC3_8NET","BPC3_9NET","BPC3_10NET","BPC3_11NET","BPC3_12NET","BPC3_13NET","BPC3_14_TEXT","BPC3_14NET","BPC3_15NET","BPC3_16NET","BPC4","BPC5_1NET","BPC5_2NET","BPC5_3NET","BPC5_4NET","BPC5_5NET","BPC5_6NET","BPC5_7NET","BPC5_8NET","BPC5_9NET","BPC5_10NET","BPC5_11NET","BPC5_12NET","BPC5_13NET","BPC5_14_TEXT","BPC5_14NET","BPC5_15NET","BPC5_16NET","BPC6a","BPC6a_cand1n","BPC6a_cand2n","BPC6b","BPC6b_cand1n","BPC6b_cand2n","BPC6c","BPC6c_cand1n","BPC6c_cand2n","BPC6d","BPC6d_cand1n","BPC6d_cand2n","BPC6e","BPC6e_cand1n","BPC6e_cand2n","BPC6f","BPC6f_cand1n","BPC6f_cand2n","BPC7","BPC8","BPC9","BPC10","BPC11","BPC12","BPC13","BPC14","BPC15","BPC16","BPC17_1NET","BPC17_2NET","BPC17_3NET","BPC17_4NET","BPC17_5NET","BPC17_6NET","BPC17_7NET","BPC17_8NET","BPC17_9_TEXT","BPC17_9NET","BPC17_10NET","BPCdem1","BPCdem2","BPCxdem1","BPCxdem2","BPCxdem3","BPCxdem4","BPCxdem5","BPCxdem6","BPCxdem7","BPCxdem8","BPCxdem9","demAgeGeneration","demBlackBin","demRaceOther","xBPC7dem","xBPC7rep","xBPC7state","xdemBidenApprove","xdemBidenApprove2","xdemBidenFav","xdemBidenFavFull","xdemEmploy","xdemEvang","xdemGender","xdemHispBin","xdemIdeo3","xdemInc3","xdemMilHH1","xdemReligion","xdemReligOther","xdemUsr","xdemWhite","xeduc3","xnr1","xnr3","xpid3","xpidGender","xreg4","xsubVote14O","xsubVote16O","xsubVote18O","xsubVote20O","wts"
1,3,1,2,1,2,2,2,2,2,2,2,2,2,1,1,NA,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,1,1,NA,2,2,2,NA,2,1,2,2,2,2,2,2,2,2,2,1,1,NA,2,2,2,3,5,7,3,13,8,3,1,10,3,8,15,3,1,2,1,12,2,3,7,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,1,1,NA,NA,NA,4,NA,NA,3,NA,NA,2,3,2,3,6,NA,2,NA,3,1,1,1,1,2,1,1,2,4,3,6,3,1,2,2,2,0.7136521842772163
1,3,1,2,1,2,2,2,2,1,1,2,2,2,2,2,NA,2,2,2,NA,2,1,2,2,2,2,1,1,2,2,2,2,2,NA,2,2,2,NA,1,1,2,2,2,2,1,2,2,2,2,2,2,NA,2,2,2,3,6,3,3,4,8,3,4,1,3,9,6,3,11,4,1,12,1,2,2,3,2,3,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,2,1,1,2,4,7,NA,1,NA,3,1,2,4,NA,3,1,1,2,1,3,5,4,1,3,NA,4,0.8148147274481629
1,3,1,2,2,1,2,1,1,2,2,2,2,2,2,2,NA,2,2,2,NA,2,2,2,2,1,2,2,2,2,2,2,1,1,NA,2,2,2,NA,2,2,2,2,2,2,2,2,2,1,2,2,2,NA,2,2,2,3,6,7,3,9,2,3,3,5,3,3,1,3,1,14,3,8,5,6,2,3,3,3,3,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,6,NA,NA,1,2,1,2,1,2,2,NA,3,1,2,1,NA,1,1,1,2,1,1,2,2,2,4,NA,4,0.22712382612170104
1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,NA,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,1,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,1,3,9,12,3,1,9,3,8,1,3,7,9,3,13,7,3,1,7,3,1,5,5,1,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,1,2,1,1,7,NA,2,NA,2,1,2,4,NA,3,1,1,1,8,1,2,3,2,4,NA,1,0.5684108955528704
1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,1,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,1,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,1,2,3,15,13,3,8,10,3,5,4,3,7,9,3,12,1,3,10,8,6,7,2,2,2,1,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,1,1,NA,NA,NA,4,NA,NA,NA,NA,6,1,1,1,1,3,NA,2,NA,3,2,2,1,1,2,1,1,1,1,3,6,4,1,2,2,1,2.3318236493322635
1,3,1,2,1,2,2,2,2,2,2,2,1,2,2,1,NA,2,2,2,NA,1,2,2,2,2,2,2,1,2,2,2,1,2,NA,2,2,2,NA,2,2,2,2,2,2,2,1,2,2,2,2,2,NA,2,2,2,1,13,3,3,4,1,3,11,14,2,5,2,3,1,14,2,14,8,5,7,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,1,NA,NA,NA,4,NA,NA,5,NA,NA,1,1,1,1,7,2,2,NA,1,1,2,1,NA,2,1,1,1,4,1,2,1,1,1,1,1,0.5113187919373154
1,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,NA,2,2,2,NA,2,2,2,2,2,2,2,1,2,2,2,2,2,NA,2,2,2,NA,2,2,2,2,2,2,2,1,2,2,2,2,2,NA,2,2,2,1,7,2,2,14,1,3,4,5,3,12,3,3,6,12,3,12,6,2,7,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,2,NA,2,3,2,4,1,NA,2,NA,2,1,2,4,NA,2,1,1,2,5,3,6,3,2,2,2,2,0.6710448723720668
1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,1,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,1,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,1,2,2,2,6,2,1,6,3,3,1,3,1,6,3,1,4,3,2,7,1,7,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,2,3,2,3,7,2,2,NA,2,1,2,1,NA,1,1,1,2,8,2,4,2,2,4,NA,4,0.5575823641420373
1,3,1,2,2,2,2,2,2,2,1,2,2,2,1,1,NA,2,2,2,NA,2,2,2,2,2,2,2,1,2,2,2,1,1,NA,2,2,2,NA,1,1,2,2,2,2,2,2,2,2,2,2,1,NA,2,2,2,3,5,2,3,10,6,3,13,5,3,8,6,3,8,14,3,7,13,5,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,1,NA,NA,NA,4,NA,NA,5,NA,NA,1,1,1,1,7,1,2,NA,1,1,2,1,NA,1,1,2,1,2,1,2,3,1,1,1,1,0.14957350064317165
1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,2,2,2,NA,2,2,2,1,2,2,2,1,2,2,2,1,2,NA,2,2,2,NA,1,1,2,1,2,2,2,2,2,2,2,2,2,NA,2,2,2,1,10,13,1,12,8,2,9,5,3,1,2,3,3,9,3,1,15,3,2,1,1,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,2,4,2,4,6,2,2,NA,2,3,2,1,NA,3,1,3,2,1,3,6,1,1,2,2,2,1.8245214595967365
1,4,1,2,2,2,2,2,2,2,2,2,2,2,1,2,NA,2,2,2,NA,2,2,2,1,2,1,2,2,2,2,2,1,2,NA,2,2,2,NA,1,2,2,2,1,1,2,2,2,2,2,2,2,NA,2,2,2,2,15,5,3,7,4,3,12,9,1,5,14,3,8,3,3,7,8,4,7,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4,NA,1,4,NA,NA,1,2,1,2,4,NA,2,NA,2,1,2,2,1,1,NA,1,1,3,2,4,4,2,4,NA,1,2.126661696266045
1,3,1,2,2,2,2,2,2,2,1,2,1,2,1,2,NA,2,2,2,NA,2,2,2,2,2,2,2,1,2,2,2,2,2,NA,2,2,2,NA,2,2,2,2,2,2,1,1,2,1,2,2,2,NA,2,2,2,3,3,5,3,1,15,3,13,1,3,7,4,3,2,1,3,6,10,3,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,1,1,NA,NA,NA,4,NA,NA,NA,3,NA,2,4,2,4,6,1,2,NA,3,1,2,1,NA,2,1,1,2,4,3,6,4,1,2,2,2,1.7319392770620292
1,4,1,1,2,2,2,2,2,2,2,2,1,2,2,1,NA,2,2,2,NA,2,2,2,2,2,1,2,2,2,2,2,1,1,NA,2,2,2,NA,2,1,2,2,2,1,1,2,2,2,2,2,2,NA,2,2,2,3,1,3,3,6,1,3,1,3,1,2,1,2,1,2,1,2,4,1,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,4,NA,NA,NA,1,NA,1,1,1,1,6,2,1,NA,1,2,2,1,NA,3,1,1,1,4,1,1,3,1,1,1,1,1.0870988600852718
